id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
228959906,69afc01d-38e1-4eae-b325-90782863f5ab,2024-07-13 15:46:37+12:00,2024-07-13,2024-07-13 03:46:37 UTC,Wellington,4733175,glebglub,Allison Xiong,2024-07-13 04:33:09 UTC,2024-07-27 08:47:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/228959906,https://inaturalist-open-data.s3.amazonaws.com/photos/406370969/medium.jpeg,,"","",3,0,false,3,"University of Auckland - City Campus, Auckland, Auckland, NZ",-36.8515866667,174.7696383333,35,,,,35,,open,false,,,Eastern Rosella,Platycercus eximius,东澳玫瑰鹦鹉,Aves,18920
228959942,3e38526e-223a-4fa0-8a4a-a2994aa9c65b,2024-07-13 15:48:14+12:00,2024-07-13,2024-07-13 03:48:14 UTC,Wellington,4733175,glebglub,Allison Xiong,2024-07-13 04:33:39 UTC,2026-02-08 00:32:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/228959942,https://inaturalist-open-data.s3.amazonaws.com/photos/406371072/medium.jpeg,,"","",5,0,false,3,"North Island / Te Ika-a-Māui, Auckland, Auckland, NZ",-36.8525466667,174.7706133333,40,,,,40,,open,false,,,Feral Pigeon,Columba livia domestica,Feral Pigeon,Aves,122767
229613417,68dd8265-ec52-4743-96e5-1582c4d200af,2024-07-16 13:02:55,2024-07-16,2024-07-16 01:02:55 UTC,Wellington,8176988,jw_nz,"",2024-07-16 01:07:02 UTC,2024-07-16 07:15:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/229613417,https://inaturalist-open-data.s3.amazonaws.com/photos/407596207/medium.jpeg,,"",,3,0,false,2,"Auckland CBD, Auckland 1010, New Zealand",-36.8508859631,174.7694158182,9,,,,9,,open,false,gps,gps,European house sparrow,Passer domesticus domesticus,家麻雀指名亚种,Aves,544795
230012357,407e8aeb-63db-4304-94be-047d1df85038,2024-07-18 13:15:14,2024-07-18,2024-07-18 01:15:14 UTC,Wellington,8176988,jw_nz,"",2024-07-18 01:19:10 UTC,2024-07-18 22:44:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/230012357,https://inaturalist-open-data.s3.amazonaws.com/photos/408358525/medium.jpeg,,"",,2,0,false,2,"Auckland CBD, Auckland 1010, New Zealand",-36.8506745522,174.7704233229,8,,,,8,,open,false,gps,gps,Silvereye,Zosterops lateralis lateralis,Silvereye,Aves,413547
232555453,6cf0a853-cd39-4142-8d54-c9c8672024e2,2016/11/24 3:59 PM,2016-11-24,2016-11-24 02:59:00 UTC,Wellington,5253347,joeylatsha,Joey Latsha-Gamboa,2024-07-29 19:41:15 UTC,2024-07-30 03:29:11 UTC,research,,https://www.inaturalist.org/observations/232555453,https://static.inaturalist.org/photos/413171198/medium.jpg,,"",,3,0,false,,"Auckland CBD, Auckland 1010, New Zealand",-36.8498015155,174.7695010937,8,,,,8,,open,false,,,Eastern Rosella,Platycercus eximius,东澳玫瑰鹦鹉,Aves,18920
233186183,108d1678-92b9-4686-8ff0-44ce48d638b1,2024-08-02 11:05:09,2024-08-02,2024-08-01 23:05:09 UTC,Wellington,8176988,jw_nz,"",2024-08-01 23:23:04 UTC,2024-08-02 01:09:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/233186183,https://inaturalist-open-data.s3.amazonaws.com/photos/414383159/medium.jpeg,,"",,4,0,false,2,"Auckland CBD, Auckland 1010, New Zealand",-36.8492196104,174.7696568817,11,,,,11,,open,false,gps,gps,Western European Blackbird,Turdus merula merula,,Aves,341569
234588403,ea53f349-980c-41b7-afa8-67e4b373a98e,2024-08-09 09:26:59,2024-08-09,2024-08-08 21:26:59 UTC,Wellington,5644245,littlecrowinahat,"",2024-08-08 21:28:12 UTC,2024-08-09 06:52:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/234588403,https://inaturalist-open-data.s3.amazonaws.com/photos/417063274/medium.jpeg,,"",,3,0,false,2,"Auckland CBD, Auckland 1010, New Zealand",-36.849787049,174.7698838636,8,,,,8,,open,false,gps,gps,European Goldfinch,Carduelis carduelis britannica,European Goldfinch,Aves,556183
235853133,2416bb7d-e33d-4dec-ba01-70cf08623c67,2024-08-15 16:45:19+12:00,2024-08-15,2024-08-15 04:45:19 UTC,Wellington,7887677,allison20429,Allison Dunlop,2024-08-15 04:48:35 UTC,2025-04-25 17:34:43 UTC,research,,https://www.inaturalist.org/observations/235853133,https://static.inaturalist.org/photos/419511298/medium.jpeg,,"","",2,0,false,3,"North Island / Te Ika-a-Māui, Auckland, Auckland, NZ",-36.8509538491,174.7721608222,22,,,,22,,open,false,,,House Sparrow,Passer domesticus,家麻雀,Aves,13858
241230370,eaeaf5be-e920-44d5-962e-030da634213a,2024-09-12 15:57:04,2024-09-12,2024-09-12 03:57:04 UTC,Wellington,2007094,sabecker,Sarah Becker,2024-09-12 04:10:27 UTC,2025-03-27 23:41:09 UTC,research,,https://www.inaturalist.org/observations/241230370,https://inaturalist-open-data.s3.amazonaws.com/photos/429897107/medium.jpeg,,"",,3,0,false,2,"Auckland CBD, Auckland 1010, New Zealand",-36.8500902178,174.7719997913,146,,,,146,,open,false,gps,gps,Australian Magpie,Gymnorhina tibicen,澳洲钟鹊,Aves,8575
241591091,452b2170-8981-4fac-bc10-c396c014d024,2024-09-14 14:11:59,2024-09-14,2024-09-14 02:11:59 UTC,Wellington,4692786,steviakiwi23,Stevia,2024-09-14 05:04:36 UTC,2025-02-09 23:03:17 UTC,research,CC0,https://www.inaturalist.org/observations/241591091,https://inaturalist-open-data.s3.amazonaws.com/photos/469178171/medium.jpeg,,"",,2,0,false,2,"University of Auckland, Auckland CBD, Auckland 1010, New Zealand",-36.8521766389,174.7706603889,,,,,,,open,false,,,European house sparrow,Passer domesticus domesticus,家麻雀指名亚种,Aves,544795
